User_ID,App,Daily_Minutes_Spent,Posts_Per_Day,Likes_Per_Day,Follows_Per_Day,Cluster,PCA1,PCA2,Engagement_Score,User_Type
U_1,Pinterest,288,16,94,0,3,-1.0800911262255104,0.1562364175128483,42.4,Average User
U_2,Facebook,192,14,117,15,3,-0.8693079198846299,0.44468438710162267,55.50000000000001,Average User
U_3,Instagram,351,13,120,48,2,1.4025281059482904,1.0972411964844713,66.3,Average User
U_4,TikTok,21,20,117,8,3,-2.2005786020702107,1.1403029653664263,55.2,Average User
U_5,LinkedIn,241,16,9,21,0,-0.17659385427851132,0.08322343434416646,14.7,Average User
U_6,Twitter,464,3,137,30,2,1.4199199881869102,-0.6229089615282238,64.7,Average User
U_7,LinkedIn,229,1,188,25,2,-0.0036528010086166645,-0.5882076042431477,83.0,Passive Consumer
U_8,LinkedIn,8,19,179,48,1,-0.5898982014763877,2.4349797757492713,91.70000000000002,High Engager
U_9,TikTok,80,7,14,25,3,-0.5157586240738057,-0.9638199401065288,15.200000000000001,Average User
U_10,Snapchat,428,6,4,41,0,1.9480924529069497,-0.8777692785413693,15.7,Average User
U_11,Snapchat,52,18,124,26,1,-1.2002861626460994,1.3520985982934912,62.8,Average User
U_12,Facebook,314,18,132,28,2,0.14732987369260303,1.3823083055756928,66.60000000000001,Average User
U_13,LinkedIn,26,17,198,18,3,-1.8230548999267864,1.5522012975131292,89.7,High Engager
U_14,Instagram,427,0,110,19,2,0.903383623298761,-1.484774844476444,49.7,Average User
U_15,Facebook,434,2,111,16,2,0.7394414902477854,-1.2807965046788028,49.800000000000004,Average User
U_16,Twitter,494,10,93,49,0,2.298758785485431,0.47907962366226364,54.900000000000006,Average User
U_17,Snapchat,32,2,81,8,3,-1.5076931125265542,-1.5748151590416473,35.4,Average User
U_18,Snapchat,104,19,3,49,1,0.326637895369507,1.1800967635991526,21.6,Active Poster
U_19,LinkedIn,431,7,14,38,0,1.7749182063905111,-0.7450623002331049,19.1,Average User
U_20,Snapchat,347,16,187,21,2,-0.06875092626904468,1.318390515746762,85.89999999999999,Average User
U_21,LinkedIn,52,19,51,33,1,-0.7511463979516286,1.141990186016025,36.0,Average User
U_22,Facebook,100,19,42,9,3,-1.5678554495881298,0.4722143206015162,25.2,Active Poster
U_23,Pinterest,214,9,122,16,3,-0.574328178071658,-0.18367223401119143,56.300000000000004,Average User
U_24,Facebook,221,15,127,22,2,-0.46942130038284374,0.8164505019419684,61.900000000000006,Average User
U_25,Instagram,280,13,42,15,0,-0.23736470843743807,-0.2506753136758023,25.2,Average User
U_26,LinkedIn,355,0,128,38,2,1.3592958073045294,-0.8673303984279699,62.6,Average User
U_27,Twitter,188,3,5,15,3,-0.2914861304269308,-1.8515146226249524,7.4,Low Engager
U_28,TikTok,77,2,192,13,3,-1.3200851657080153,-0.675148266029881,81.30000000000001,Passive Consumer
U_29,Twitter,337,18,21,44,0,1.2284471895293108,0.9807782796593407,27.0,Active Poster
U_30,TikTok,199,5,186,40,2,0.4006025387441936,0.3219293873999467,87.9,Average User
U_31,TikTok,321,4,136,18,2,0.15882414640699652,-0.7480199905327954,61.00000000000001,Average User
U_32,Twitter,119,17,97,3,3,-1.8075210264316701,0.4370180791813531,44.800000000000004,Average User
U_33,TikTok,396,10,37,36,0,1.3695130251061793,-0.21133911759288565,28.6,Average User
U_34,Pinterest,112,8,82,21,3,-0.725422295721634,-0.4516960089026277,41.5,Average User
U_35,Snapchat,63,0,86,44,1,0.3006471382969969,-0.9333602638897416,47.599999999999994,Average User
U_36,Twitter,108,0,163,40,1,0.16459139410076315,-0.4974393683224773,77.2,Passive Consumer
U_37,TikTok,252,3,6,39,0,1.089360651616323,-1.2711249563338407,15.0,Low Engager
U_38,LinkedIn,233,15,197,25,2,-0.43775710689717423,1.3847825619529033,90.80000000000001,Average User
U_39,Pinterest,180,20,127,3,3,-1.6719228000805928,1.0419954204784527,57.7,Average User
U_40,Twitter,289,20,131,14,2,-0.6589552078941199,1.3100841376556627,62.60000000000001,Average User
U_41,Facebook,75,10,19,38,1,-0.06410088817160584,-0.19691129761143078,22.0,Average User
U_42,Twitter,51,10,21,9,3,-1.480100111707654,-0.890870063026114,14.1,Average User
U_43,Facebook,187,20,146,20,2,-0.9226169456937228,1.5943136434485286,70.4,High Engager
U_44,LinkedIn,215,10,157,31,2,-0.011192665969471275,0.5712954003651631,75.10000000000001,Average User
U_45,Facebook,202,1,64,12,3,-0.430791149867387,-1.7828322778274175,29.5,Average User
U_46,Pinterest,206,11,150,1,3,-1.408993829908233,-0.07924325653115903,63.599999999999994,Average User
U_47,Pinterest,295,1,47,23,0,0.552425473796353,-1.6594518047814466,26.0,Average User
U_48,Pinterest,43,19,16,38,1,-0.4914605090914082,1.0189855544934971,23.5,Active Poster
U_49,LinkedIn,5,7,38,40,1,-0.2667870407616243,-0.4014745003318421,29.3,Average User
U_50,LinkedIn,167,10,33,27,1,-0.13893493051285982,-0.39529567786150743,24.300000000000004,Average User
U_51,Facebook,78,9,166,22,3,-1.070254175587189,0.3166656093227755,75.7,Average User
U_52,Pinterest,319,19,170,21,2,-0.25893239054546485,1.6149275011940822,80.0,High Engager
U_53,Pinterest,172,2,151,44,1,0.6207101580368933,-0.22983010429921713,74.2,Passive Consumer
U_54,Snapchat,485,13,40,24,0,1.167908637984183,-0.10242776699066655,27.099999999999998,Average User
U_55,Snapchat,402,14,41,40,0,1.4444175309206266,0.45976383919083136,32.6,Average User
U_56,Twitter,215,1,120,10,3,-0.5852920933498625,-1.4376577113248643,51.3,Average User
U_57,Facebook,104,20,46,27,1,-0.7850156167310612,1.079823387029483,32.5,Average User
U_58,LinkedIn,363,7,194,24,2,0.4053668726369222,0.20956333313128833,86.9,Average User
U_59,Facebook,312,9,96,15,2,-0.08171998070758811,-0.4216713553808393,45.60000000000001,Average User
U_60,TikTok,39,14,80,32,1,-0.7710966953388555,0.6451521806204603,45.800000000000004,Average User
U_61,LinkedIn,260,10,159,19,2,-0.3321394164073007,0.27654272476960445,72.3,Average User
U_62,LinkedIn,379,17,48,44,0,1.402042370488837,1.024176519380936,37.5,Average User
U_63,Facebook,208,15,92,9,3,-1.032682984987777,0.2507232097497692,44.00000000000001,Average User
U_64,Pinterest,341,13,4,41,0,1.3076803486463087,0.1025410363958326,17.799999999999997,Average User
U_65,Snapchat,28,9,53,15,3,-1.3669076946249905,-0.6450949230530902,28.400000000000002,Average User
U_66,Instagram,407,13,192,18,2,0.17100750642575716,0.8532471156946447,86.10000000000002,Average User
U_67,Facebook,498,16,176,18,2,0.5584103224348834,1.1223742782920634,80.60000000000001,Average User
U_68,TikTok,21,6,38,43,1,-0.02398692749997201,-0.4685743879367012,29.9,Average User
